"Protein","Total.identified.peptides","Total.quantified.peptides","Annotation","C_0_R_1","C_0_R_2","C_0_R_3","C_1_R_1","C_1_R_2","C_1_R_3","C_2_R_1","C_2_R_2","C_2_R_3","C_3_R_1","C_3_R_2","C_3_R_3","C_4_R_1","C_4_R_2","C_4_R_3","C_5_R_1","C_5_R_2","C_5_R_3","log.ratios.C2.vs.C1","log.ratios.C3.vs.C1","log.ratios.C4.vs.C1","log.ratios.C5.vs.C1","log.ratios.C6.vs.C1","FDR.PolySTest.C2.vs.C1","FDR.PolySTest.C3.vs.C1","FDR.PolySTest.C4.vs.C1","FDR.PolySTest.C5.vs.C1","FDR.PolySTest.C6.vs.C1","Cluster"
"P49959",24,20,"MRE11_HUMAN Double-strand break repair protein MRE11",0.0515491124678903,-0.018588096798538,0.0305563610170616,-0.0559285530471085,-0.0381977605060322,-0.112762740373049,0.231249795020135,0.202429510615777,0.23496080177306,0.13341198620546,0.11610528842627,0.105070693102155,-0.0354656738662438,-0.106413218718613,-0.0906125885996337,-0.117851274852289,-0.215404540071292,-0.190987044907866,-0.0901354768708679,0.201707576907519,0.097023530349157,-0.0986696192903014,-0.195920078839287,0.0371099028009742,5.10845918244748e-05,0.0094756496343386,0.0043986378667544,1.1046502370794e-05,4
"P50135",6,6,"HNMT_HUMAN Histamine N-methyltransferase",-0.130148844821751,-0.230350621731995,-0.123554981949451,0.0689053860743053,-0.184169433623024,-0.22059400028699,0.158857135248226,-0.00323815873298382,0.109889172003699,0.145954505743517,0.0773799234953793,-0.00441781460233318,0.0651330236719906,-0.0523371066453276,-0.0423436515553068,0.273221366926791,0.0544174005090961,0.0852556785092554,0.0493988002224961,0.249854199007379,0.234323687713253,0.151502237991518,0.298982964816113,0.717791351941967,0.00807351474775892,0.00827474951651468,0.0319498378553129,0.000530530209219596,2
"P50148",7,6,"GNAQ_HUMAN Guanine nucleotide-binding protein G(q) subunit alpha",-0.238670605156732,-0.201858204677417,-0.189435931888426,0.0343030861815097,-0.0836196176450852,-0.0531816518447056,0.0995358794231241,0.0130309360924476,-0.0328580200864707,0.0322685227241287,-0.0317830305472839,0.0352439983672685,0.179675856630011,0.112219659949681,-0.0347202193768963,0.289029126771536,0.0695023912366471,0.0347774238748966,0.175822186138098,0.236557845717225,0.221898077422229,0.295713346308457,0.341091227868552,0.0413525368674613,0.00402051741429965,0.0042090769882134,0.000242088588815839,4.21521812826814e-05,2
"P50151",2,2,"GBG10_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10",-0.348798427385627,-0.259253300257024,-0.2663358557979,-0.351148497178836,-0.417648137849904,-0.204744344139813,-0.0298331471184643,-0.0564609798440318,-0.136812049513789,0.312913859372061,0.151439278765814,0.333582802726928,0.567677900740696,0.203616969645043,0.278048491727798,0.333582138971852,0.0409989718501685,0.183347901953805,-0.033051131909334,0.217093802321422,0.557441174768451,0.641243648518029,0.477438865405459,0.198259328220418,0.0402206039135173,3.67318719451036e-05,3.88720756956556e-06,4.38833118694194e-05,2
"P50213",11,11,"IDH3A_HUMAN Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",-0.295944920562667,-0.288195424501067,-0.301300807368163,-0.243266124235946,-0.261923848058932,-0.261897091423602,0.126817271814636,0.10203275436876,0.0765354335916293,0.154089630986617,0.168061907353726,0.140368587917077,0.187824257097043,0.126049710585889,0.174379079115619,0.171946560425747,0.18612413863847,0.151995835443743,0.0394513629044724,0.396942204068974,0.449320426229772,0.457898066410149,0.465169228979952,0.0496614496614497,2.31561272308128e-09,2.38535689249522e-10,6.02552288414447e-11,2.45811012798323e-11,2
"P50238",3,3,"CRIP1_HUMAN Cysteine-rich protein 1",-0.462301507661394,-0.419569062864404,-0.697460014466036,-0.646059087814806,-0.648193395809554,-1.23738103861449,-0.527529716504964,-0.510434539943986,-0.797838806786392,0.122789114870093,-0.0548039019268325,-0.0455151088864655,0.566116028234195,0.888488850080727,0.91833480178957,1.43549748378383,1.13099056021627,1.07247971809867,-0.317434312415672,-0.0854908260811693,0.53393356301621,1.31742342169878,1.73943278236353,0.11202237646117,0.193781329068362,0.00377321224283642,4.52729345438369e-07,1.03422897873141e-08,1
"P50281",10,10,"MMP14_HUMAN Matrix metalloproteinase-14",0.411036975760166,0.368700816356142,0.383478213178097,0.296486982124064,0.21420706608816,0.275870651664666,-0.125141125674578,-0.1531601797955,-0.0586271869679007,-0.434692175451605,-0.433281580099777,-0.458480737051401,-0.223342098107496,-0.178086544425309,-0.0969747761336437,0.143242599828196,0.109226262396635,0.0620721113714721,-0.125550435139172,-0.500048165910795,-0.829890165965729,-0.553873141320285,-0.282891677232701,0.0130430451785785,1.39307533078315e-08,3.30237246978663e-11,7.57094580412625e-10,8.76552613453685e-07,5
"P50395",30,22,"GDIB_HUMAN Rab GDP dissociation inhibitor beta",0.396471329947414,0.383640786113262,0.452683983160763,-0.0264923692068452,-0.0370549001761159,-0.226742900504284,0.0731247859483286,0.150288588012895,0.312330729163353,0.112578725483043,0.177583935171592,-0.0312177672686002,-0.184225761641467,-0.245874256640756,-0.200063165621961,-0.244132462787509,-0.407060921974553,-0.355502337494283,-0.507695423036228,-0.232350665365621,-0.324617068611801,-0.620986427708541,-0.746497273825928,7.52802307767001e-05,0.0070601169462124,0.000427539982312966,2.96256867516493e-07,1.97142374822373e-08,4
"P50402",10,8,"EMD_HUMAN Emerin",-0.218825418196481,-0.285316064563019,-0.187159399640854,-0.0218455715421509,-0.146885001863003,0.0116103988846969,0.16254071936276,0.0291905526487707,0.0053626909466433,0.0600383935433156,-0.0246498673618553,0.0127996532920011,0.109243448976508,0.0404416963406851,0.0610919826280829,0.211991936733773,0.138015891422953,0.145524677924628,0.178060235959966,0.296131615119509,0.246496353957938,0.30069267011521,0.395611129493903,0.00842328973201713,6.09538454616866e-05,0.00020693756353767,1.42366424448005e-05,4.45214534545342e-07,2
"P50440",3,2,"GATM_HUMAN Glycine amidinotransferase, mitochondrial",-0.483222909857115,-0.418741145717425,NA,-0.229350050372563,-0.257212055389411,NA,-0.248028197565058,-0.0666628706251395,NA,0.283965223384783,NA,NA,0.493442559386301,NA,NA,0.923404057081098,NA,NA,0.207700974906283,0.293636493692171,0.734947251172053,0.944424587173571,1.37438608486837,0.0583299245615722,0.00934623834067443,0.000190880354497237,2.5031769070768e-05,2.15934867321708e-06,1
"P50443",6,6,"S26A2_HUMAN Sulfate transporter",0.119008954996155,0.172461220444738,0.383945698755854,0.205584528919091,0.310966526654902,0.451373492506112,0.104429641009105,0.00915980408087497,0.124672965547187,-0.186391454862714,0.0402113877194679,-0.048989874321105,-0.194120974963236,-0.235251636999757,-0.265491247633501,-0.28817906183302,-0.26068939917491,-0.332451315482809,0.0975028912944526,-0.145717821186527,-0.290195271887033,-0.456759911264414,-0.518911883562495,0.248542409373325,0.0788175806840589,0.00155799114153805,1.37464139768168e-05,2.15921202296225e-06,3
"P50452",10,9,"SPB8_HUMAN Serpin B8",0.186911044792386,0.211470650949631,0.246798641204627,0.213976451618685,0.245774261159765,0.267320489674848,0.156580116361044,0.196451638395026,0.187565259540663,-0.0492195981405035,-0.0188300737492241,-0.0713632565644918,-0.151279284379566,-0.235567698054563,-0.29957945616946,-0.269121565977658,-0.365817901820781,-0.378755584500742,0.0272969551688847,-0.0348611075499703,-0.261531088466954,-0.443868925183411,-0.552958463081942,0.100438886955741,0.0874093312163716,1.26227513256145e-05,1.63201201824323e-08,6.45393268393443e-10,3
"P50454",22,14,"SERPH_HUMAN Serpin H1",-0.167896267050864,-0.18238035709217,-0.21825894979734,0.00267701856680864,-0.0954775451517352,-0.0357644453115569,-0.0530035909383237,-0.110364571639737,-0.174987962836535,-0.152269328430562,-0.25199627453952,-0.114882758202069,0.0786442981379399,0.137982103388334,0.173918685172813,0.463055858091057,0.423447004443927,0.37555878407086,0.146656867347964,0.0767264828419261,0.0164624042560743,0.319693553546487,0.610199073515406,0.0132695539059411,0.111290563777814,0.179958545609515,2.28606027099668e-06,8.00513485049212e-10,1
"P50479",14,13,"PDLI4_HUMAN PDZ and LIM domain protein 4",-0.359392679683457,-0.357941187958649,-0.300739395957765,-0.153269616627614,-0.236460880758862,-0.16004921292555,-0.0781756915414289,-0.0819337651846396,-0.0535012323551568,0.123406214173368,0.162044991780207,0.18431198847003,0.252623823178799,0.252815953062629,0.282565717104423,0.247094336971506,0.15992855836342,0.185885478441811,0.156097851095948,0.268154191506215,0.495945486007825,0.602026252315241,0.536993879125536,0.00120129794484084,2.22573870626262e-06,1.37044446137436e-09,5.29455053509271e-11,9.42224536511977e-11,2
"P50552",19,17,"VASP_HUMAN Vasodilator-stimulated phosphoprotein",0.283824211724168,0.190555422367947,0.469220648330687,-0.0498246945508167,-0.0164226951202406,-0.110312167746724,-0.0179683893187047,0.113534845342137,0.323829419601583,0.0643131943248119,0.236420635875168,-0.00596875511745387,-0.183919681762702,-0.197754573980426,-0.149918304992498,-0.205251270337385,-0.299087510187767,-0.364166583304964,-0.373386613280194,-0.174734802265929,-0.216278402446759,-0.491730947719476,-0.604035215417639,0.00276419727720029,0.0709370318201773,0.0218988130481212,2.92430018958488e-05,2.11048788958533e-06,4
"P50570",40,38,"DYN2_HUMAN Dynamin-2",0.102461063261906,0.0959578569912306,0.212002921586968,-0.0337794455657164,-0.0307226415947128,-0.133154667551732,0.0803765624449839,0.156922230777845,0.243114237985189,0.0481354698224113,0.151940928798597,-0.0322384992452306,-0.0637826844975419,-0.117260103097155,-0.0822641807014267,-0.0525169422653316,-0.209818988916307,-0.186275474859818,-0.202692865517422,0.0233303964559711,-0.0808613141547757,-0.224576270045409,-0.28634441596052,0.00988754944916785,0.247338330346489,0.140093009631511,0.000753849012745742,6.17604699515078e-05,4
"P50579",20,14,"MAP2_HUMAN Methionine aminopeptidase 2",-0.340198899074326,-0.29694417674685,-0.379149726626392,-0.0568816774241764,-0.0331012331527336,0.0627878970521746,-0.131447729079113,-0.182922270350883,-0.296271272518905,-0.0480586698402175,-0.151957881500754,0.0144517073964765,0.330196497995713,0.360122459633053,0.205941425677835,0.298350695277288,0.341088367997734,0.393765214136398,0.329699262974278,0.135217176832889,0.276909319501024,0.637517728584723,0.683165693286329,0.000297300124765432,0.0356586647881052,0.000230678788118378,1.6280918460221e-08,3.73789900347103e-09,1
"P50583",8,6,"AP4A_HUMAN Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]",-0.207249824613041,-0.133476994109373,-0.174651078890579,-0.133990851059611,-0.0580651147467268,-0.04405158087585,-0.0459580900425729,-0.071246520849179,-0.124616718897679,-0.0126414894194082,-0.0552434224022077,-0.0168073734670959,0.107600943476069,0.144515541785088,0.183705941334943,0.243765759824902,0.306591697238148,0.192270431072732,0.0930901169769351,0.091185522607854,0.14356187077476,0.317066774736364,0.419335261916258,0.0561196555774804,0.0341911247589083,0.00172650147486628,4.43508617312963e-07,9.93335953365752e-09,1
"P50748",23,21,"KNTC1_HUMAN Kinetochore-associated protein 1",0.449330312562639,0.45756239338419,0.498599046009337,0.386700229496822,0.535463674694583,0.618357457050434,0.202455171988905,0.234258478281911,0.209166433808801,-0.191873792114864,-0.165912716473163,-0.173729721340019,-0.319171171351509,-0.548441027294186,-0.579444394703844,-0.550896619480322,-0.66297390165997,-0.666547474153976,0.045009869761891,-0.253203889292183,-0.645669327294737,-0.950849448435235,-1.09530324908348,0.0802309134395896,0.00216752159443475,1.65519491572233e-07,7.80030737799671e-10,7.72405950893701e-11,3
"P50851",29,27,"LRBA_HUMAN Lipopolysaccharide-responsive and beige-like anchor protein",-0.370822706095703,-0.355639590270817,-0.39741917546472,-0.196362075768106,-0.147168769157788,-0.203099915773387,-0.179528106869543,-0.132583547850486,-0.271839091472908,0.0171601229675059,-0.0289570394562281,-0.00564883083882077,0.370563160441257,0.295509736933693,0.30072573290818,0.450140351457036,0.400119001496366,0.470920372863098,0.192416903710653,0.179976908546101,0.368811908167899,0.696893367371457,0.815020399215913,0.000698911064807211,0.000379356670420582,1.5898965626475e-07,4.5777775529538e-11,3.97462053589301e-12,1
"P50895",21,21,"BCAM_HUMAN Basal cell adhesion molecule",-1.38239405690639,-1.39283664275086,-0.988644898543488,-1.19656175855383,-1.1979062520679,-0.790581364715277,-0.6778163217257,-0.571889760445707,-0.477827349718242,0.635000287800635,0.434804287229385,0.471967960967891,1.18732446211606,1.12908978190643,1.06923996919231,1.5622980420242,1.34727824030083,1.33826425097661,0.19294207428791,0.678780722103696,1.76854937806622,2.38317660380518,2.67057204383413,0.166931417881894,0.000114734919926687,2.41975917173045e-09,3.0795265432189e-11,4.18348730313717e-12,2
"P50897",4,3,"PPT1_HUMAN Palmitoyl-protein thioesterase 1",0.111556479291649,-0.0743022545905851,-0.0796083692624946,0.00792693472980694,-0.146537580741185,-0.0864620083969236,0.402602652998591,0.336047949345337,0.420888430605268,0.292079921743424,0.104382865520028,0.194946033984796,-0.144976448824431,-0.179952904681801,-0.184212938454653,-0.331579202251798,-0.35815378856655,-0.352889108651472,-0.060906169948957,0.400631059170209,0.21125432193656,-0.155596049133151,-0.33342265163613,0.443956296944278,1.19372497783378e-05,0.00207070568810711,0.00703079855671135,1.18558936221627e-05,4
"P50914",8,7,"RL14_HUMAN 60S ribosomal protein L14",0.639366345855347,0.561085001460238,0.741313597974979,-0.208342738621959,-0.185547309655712,-0.372905031471673,-0.227634892731524,0.183576454938865,0.325283878085908,0.23690990300627,0.399035113269881,0.0691694402331683,-0.314626365327295,-0.548295835845809,-0.0580912020996092,-0.285434619259001,-0.308703730487108,-0.481979663677116,-0.902853341679969,-0.553513168332438,-0.412216829593748,-0.954259449521092,-1.00596098623793,0.000152781193513056,0.00201646678118156,0.00925151102026353,4.43614262690692e-06,1.4575603149971e-06,4
"P50990",40,37,"TCPQ_HUMAN T-complex protein 1 subunit theta",0.235606647692446,0.195432049614115,0.247718370276428,0.0449654656770299,0.0167300907302901,-0.00141235392548211,-0.117446359805558,-0.0994299773450814,-0.0159748196461207,-0.0406423465292157,-0.00894394989135387,-0.0647787464505622,-0.0402602361071465,-0.0352945536202996,-0.0336181526118682,-0.0275676633456986,-0.0918423497603464,-0.0662832341650664,-0.206157955033717,-0.303869408126583,-0.26437403681804,-0.262643336640768,-0.288150104951367,0.000129338781915475,4.24942203406483e-07,1.04338099953753e-06,4.64388323163404e-07,8.93672328777897e-08,5
"P50995",19,18,"ANX11_HUMAN Annexin A11",-0.491138950685281,-0.446882230350548,-0.443825484997539,-0.199757258262634,-0.242224484233337,-0.167070989873229,-0.004452407648465,-0.011041775010138,0.0202357523979864,0.21317883438426,0.255710590967942,0.267379686593281,0.201046732319861,0.310677945240326,0.285179516201764,0.169507032198192,0.152631701975764,0.157163875508436,0.257597977888056,0.462196078590917,0.706038592659617,0.72625028659844,0.620383091905253,3.54628045856799e-05,6.09089686924706e-09,3.32448033844505e-11,6.93601565869393e-12,1.65717655156461e-11,2
"P51114",30,22,"FXR1_HUMAN Fragile X mental retardation syndrome-related protein 1",-0.301463749916296,-0.236291778299428,-0.309179242972713,-0.138965284002482,-0.177657609979536,-0.133922180650644,-0.13104446278804,-0.145493804275306,-0.222978870394636,0.0206989922619477,-0.0558560455822737,0.0231118421918544,0.301631083348901,0.357605021450225,0.280957808315717,0.338184080070329,0.3485906134357,0.308034745987049,0.132129898851925,0.115805877910152,0.278296520019989,0.595709561434427,0.613914736893838,0.00630659359390296,0.00663214497092231,2.01976184054378e-06,1.49703542302074e-10,5.14525428902431e-11,1
"P51116",20,16,"FXR2_HUMAN Fragile X mental retardation syndrome-related protein 2",-0.11921618028956,-0.244060273222383,-0.123362029440035,-0.124672198291291,-0.117013996201146,-0.0615471205540704,-0.124372575287659,-0.146422602356872,-0.15967410714425,-0.0487153552104205,-0.065920015947037,-0.0265466078635405,0.125804693209402,0.222496408451545,0.189103115125747,0.277293266166201,0.328856942630629,0.303522346104699,0.0611350559684902,0.018723066054399,0.115152167976993,0.341347566579557,0.465437012617836,0.201520235496827,0.283948332900602,0.00649618499206157,1.55188817398716e-07,2.31175930146591e-09,1
"P51148",8,7,"RAB5C_HUMAN Ras-related protein Rab-5C",0.380188753287114,0.400948641528626,0.475606114931778,0.106013591137517,0.0820186479446777,-0.214719119506078,0.100227452706563,0.145893498789115,0.325240315334315,0.108840060213035,0.23832015254964,0.0248161274641937,-0.0636819831609585,-0.158239429478231,-0.310087354515006,-0.311992298559658,-0.64034336405219,-0.480650157149122,-0.427810130057134,-0.228460747639175,-0.294922389840216,-0.596250758967238,-0.896576443169496,0.00304826448321291,0.0384324937170265,0.00980773694000779,1.94450919257122e-05,1.40699441064683e-07,4
"P51149",16,13,"RAB7A_HUMAN Ras-related protein Rab-7a",0.4526549021762,0.374630016111018,0.448337434334854,-0.118426791420876,-0.146486579638004,-0.386479262911669,0.0132496824944335,0.158484335303641,0.301047113334726,0.244726347369782,0.272634260608384,0.0081358644162183,-0.0919226533775344,-0.174211571623872,-0.173158676414878,-0.278540377213543,-0.433239545562506,-0.383824122192344,-0.642338328864207,-0.267613740496424,-0.250041960075896,-0.571638418012785,-0.790408799196822,6.02684338691716e-05,0.00992200065719007,0.0102972350604643,6.16271261262285e-06,9.98256806837725e-08,4
"P51153",9,9,"RAB13_HUMAN Ras-related protein Rab-13",0.258381424120659,0.201350268097078,0.323936821034203,0.30272104513168,0.282465187389035,0.197895937983857,0.160518229925011,0.094894537078119,0.23456087754322,0.0039636153939544,0.0863017864104492,-0.023841182586555,-0.19719423113647,-0.301740714630081,-0.326239693384353,-0.358854387865315,-0.46624048313151,-0.481747750836364,-0.000195447582456043,-0.09789828956853,-0.239081431344697,-0.536281050800948,-0.696837045028376,0.250022077370144,0.0886508516419979,0.000419429648828556,4.82706326102146e-08,1.20177092341361e-09,3
"P51178",15,13,"PLCD1_HUMAN 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1",-0.182720910190381,-0.200988663986134,-0.206599215706166,-0.107991900538422,-0.0960084038724834,-0.139051607162827,-0.00568216502897851,0.0326497247199351,0.0010819347715804,0.093115633462544,0.0418531698799021,0.0094036136556337,0.159024277591469,0.0435912707753664,0.0480795822173015,0.211660382509759,0.169238961426727,0.195049153218695,0.0824189594363162,0.206119428115073,0.24489373562692,0.280334640155606,0.388752429012621,0.0433646763259111,4.70286932826584e-05,4.90474916801885e-06,4.86055787287785e-07,6.32312975417081e-09,2
"P51397",4,4,"DAP1_HUMAN Death-associated protein 1",0.627314094489101,0.483906949596329,0.693158912278321,0.23000646737132,0.237780750107659,0.209690377799752,0.158119208191625,0.2908683946023,0.452765056283917,-0.0468895688362287,0.247083351312164,-0.0346381414417101,-0.460919388431995,-0.399666680294085,-0.485339956535601,-0.766471101496446,-0.757931954999367,-0.591226394203025,-0.375634120361673,-0.30087576576197,-0.546274771776509,-1.05010199387514,-1.3066698023542,0.00243773533879573,0.00465470197973305,2.08643609788944e-05,6.69271437803254e-09,2.67751146483006e-10,3
"P51398",13,12,"RT29_HUMAN 28S ribosomal protein S29, mitochondrial",-0.0481364385071635,-0.195340518343382,0.00655328367888375,-0.0545124977452934,-0.134857315767091,-0.172440487296357,-0.0784750257939327,-0.118856527348853,0.0038998144281913,0.0649423817296476,0.157869996716464,0.0832674697483478,0.077975011917259,0.155929730251084,0.129368358923255,0.150498127222774,-0.0118024171640827,0.105557794417174,-0.0416288758790266,0.0144973114856891,0.181001173788707,0.200065591421087,0.160392392549176,0.488184192515148,0.71295284499349,0.00580332510642099,0.00152402403174454,0.0039452206111886,2
"P51452",6,5,"DUS3_HUMAN Dual specificity protein phosphatase 3",0.0386444848362344,0.0964015531965296,0.152381598295023,-0.0416956102414823,-0.0869110615506049,-0.109302267564582,0.0976867083177461,0.0426086690827403,0.144117148607822,0.0508607957506191,-0.00866458492756722,-0.043901419109054,-0.0417714120534209,-0.0804034085794625,-0.0187575373072933,0.0183518289786717,-0.0543234834980795,-0.0677116264398124,-0.175112191894819,-0.00100503677315954,-0.096377614871263,-0.142786664755988,-0.130370305762336,0.00234215606430329,0.409663192271888,0.0247153166309978,0.00134986954177638,0.001611273087524,4
"P51531",6,5,"SMCA2_HUMAN Probable global transcription activator SNF2L2",0.141135192500141,0.146235050047465,0.26722965367847,0.107740061616125,0.0808605651955045,0.295591552296214,-0.0158248640914812,-0.057190872622759,0.0401343032666443,-0.0733946979427833,0.0970683133043492,0.137803684327992,-0.19896458685935,-0.119668636030149,-0.12046649027301,-0.221711345431089,-0.119932220132076,-0.187287552325234,-0.0234692390394109,-0.195827109891224,-0.131040865512173,-0.331233203129528,-0.361177004704825,0.549480665354429,0.0104836550236977,0.0481812937450023,6.68841103986755e-05,1.76485140954812e-05,3
"P51532",30,27,"SMCA4_HUMAN Transcription activator BRG1",0.0966017522913284,0.168303311683667,0.167288770725873,0.138265263933327,0.18846986069596,0.211384535412148,-0.000106824084100329,-0.0410051063063999,-0.107005631254326,-0.0114312707132974,0.0062308206218624,0.0170200091523146,-0.0699685014230641,-0.0689858490145755,-0.0985123332788657,-0.135992842390417,-0.153205144133155,-0.173936298459448,0.0353086084468555,-0.193437132115232,-0.140124758546663,-0.223220172805791,-0.298442706561296,0.157250057114739,6.30811591591149e-05,0.000678492371995846,3.98361786584901e-06,9.10776114819935e-08,3
"P51553",8,8,"IDH3G_HUMAN Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial",-0.290792272349237,-0.294257406692105,-0.242202547735261,-0.267602010329419,-0.283144849607425,-0.194050826474712,0.0964540962666541,0.0450494623166534,0.0969442825011666,0.137536684224991,0.205222615764945,0.107702873556892,0.136393337378926,0.1486180115179,0.127659878469515,0.104177894800307,0.162972478436974,0.111137338197501,0.027484846788349,0.355233355953692,0.42590480010781,0.413307818047648,0.401846646070462,0.179754891108054,1.69325193751436e-07,1.16597990612823e-08,6.13789151613307e-09,4.42931153487232e-09,2
"P51571",4,3,"SSRD_HUMAN Translocon-associated protein subunit delta",0.720240080611839,0.670808901437909,0.862140432340938,-0.00344785698925497,-0.045554219041643,-0.572240460833203,0.136460728952062,0.283988181523872,0.471681364458253,0.213928647016399,0.46446442347123,-0.0766470910621031,-0.128614105875124,-0.14713274880414,-0.506427638960362,-0.387944252305462,-0.989780824145388,-0.878313186001791,-0.958143983751596,-0.453686379818833,-0.550481144988387,-1.01178796934344,-1.50307589228111,0.000597044155366421,0.00911457635064528,0.00673130237217906,4.44723028168662e-05,4.20405524012513e-07,4
"P51572",22,22,"BAP31_HUMAN B-cell receptor-associated protein 31",-0.0385142375565993,-0.164232577866004,-0.0993820818778595,-0.163654055779643,-0.182287005015132,-0.187051332791799,0.00541666093690626,0.0600625913592571,0.132760110492438,0.127670230160299,0.0922070365511302,0.0054254449557976,-0.0077947114410447,0.0305738925090416,0.0374260815607521,0.127469299267753,0.126179855771532,0.17628316140785,-0.0769544987620371,0.166789420029688,0.175810536322563,0.120778053309737,0.244020404582533,0.0595937395937396,0.00168635047624653,0.000747110039469158,0.0048357128240668,1.09503408987231e-05,2
"P51580",10,8,"TPMT_HUMAN Thiopurine S-methyltransferase",-0.214899556156108,-0.204655275168006,-0.179269643823841,0.033306483355203,0.0068081926722283,-0.00974297631932983,0.0250237714472151,-0.0414808626197013,-0.0750059433212759,-0.0505747966061412,-0.100012109405504,-0.0402728299812813,0.0789752246565428,0.139419705824936,0.155156020769964,0.163366151578735,0.218058214983184,0.170276589803954,0.209732058285352,0.169120480218064,0.13598824638501,0.324125142133133,0.383508477171276,0.000153587444043915,0.000224090051777472,0.00088464235346347,6.98550957932463e-08,5.3015155723214e-09,1
"P51608",22,21,"MECP2_HUMAN Methyl-CpG-binding protein 2",-0.628721507525749,-0.603231360579642,-0.666351129036938,-0.286365733377402,-0.323395093297633,-0.343698349066485,0.191918670858198,0.127960225059935,0.130770687230251,0.192968118618662,0.101033528431918,0.202825988892185,0.286261773060528,0.245182293786266,0.270267173010598,0.397821338388208,0.335041538064563,0.372635412589822,0.31494827380027,0.782984526763571,0.798377211028365,0.900005078999907,1.00126742872831,1.86677370515932e-05,5.48438063450164e-11,1.65141749714056e-11,1.31475486582671e-12,1.81733615934275e-13,2
"P51610",35,31,"HCFC1_HUMAN Host cell factor 1",0.117318893206709,0.0854914148939347,0.125132434997673,0.018123532979644,0.0152586488935653,-0.0524581962572624,0.112787044350733,0.0874753430289775,0.118024784511764,0.113968706855419,0.153063488233769,0.0908452378251873,-0.0312542634641699,-0.0920491255327765,-0.101558576992369,-0.159751555695185,-0.243932147561539,-0.225747049546835,-0.11567291916079,-0.00321852373561407,0.0099782299386862,-0.184268236362544,-0.319124498633959,0.00854902911316095,0.148640274275378,0.127148692286307,2.61472642845185e-05,3.92198067831531e-08,4
"P51636",6,3,"CAV2_HUMAN Caveolin-2",-0.488377140860741,-0.333471201705025,-0.26610249828571,-0.270611577760701,-0.163551948550544,0.0301488159970227,-0.0239145578131515,-0.0322998509211643,-0.0486674606442574,0.0096670015828106,0.037847628165028,0.0845739416733729,0.221424043614785,0.355944535435859,0.167577134162263,0.245268889341611,0.307353285364597,0.254801336997976,0.227978710179085,0.327689657157634,0.406679804090896,0.610965518021461,0.631791450851887,0.0162668560744714,0.000605002420087357,5.71888979202745e-05,3.55296576874655e-07,1.3304265121286e-07,2
"P51648",16,16,"AL3A2_HUMAN Aldehyde dehydrogenase family 3 member A2",-0.562787049780296,-0.541723549820787,-0.548440160792211,-0.426253273874937,-0.385277240618058,-0.406359655852404,-0.00474715546582188,-0.0359500922236246,-0.00471426893830697,0.343843069316157,0.266335113306494,0.34230115550115,0.368089356397622,0.260596818353761,0.274632002412802,0.301277557001802,0.309066137430871,0.402717853013826,0.145020196682632,0.535846414588514,0.868476699505698,0.852089645852493,0.888670769279931,0.00420137743088552,4.56966481013442e-09,1.37374505607074e-11,4.53251136508943e-12,1.25601343735004e-12,2
"P51659",29,24,"DHB4_HUMAN Peroxisomal multifunctional enzyme type 2",-0.303749602158175,-0.308131696404787,-0.319248260995001,-0.169978301422866,-0.197481974261539,-0.185054548521799,-0.0974332614865259,-0.12188870173892,-0.0905995159481428,-0.0469951513121402,-0.101473110376655,-0.0846579182227506,0.201739413743399,0.215046540023571,0.251148955192463,0.466075948001054,0.435256866122117,0.453948655978395,0.12620491178392,0.207069360128125,0.232667793215472,0.533021489505799,0.76213700988651,0.000789609348788978,1.93966065680629e-06,3.03084687851671e-07,1.09894984166186e-11,1.19142723296057e-13,1
"P51668",2,2,"UB2D1_HUMAN Ubiquitin-conjugating enzyme E2 D1",-0.22981961100091,-0.175106451356218,-0.28414834446073,-0.159281141246535,-0.135594864717857,-0.0602865558958556,-0.0600945457153721,-0.0344089520713796,-0.14849596740579,0.0746124878029676,-0.089241001373804,0.0025748235326625,0.187488352372656,0.115985150052849,0.218960082838543,0.321692971258932,0.27064477937127,0.2721291638086,0.111303948319203,0.148691647208439,0.225673572259895,0.403835997360635,0.517847107085553,0.0708811618835524,0.00944636465206353,0.000324787901630737,4.28304001602426e-07,1.37191693097523e-08,1
"P51687",6,6,"SUOX_HUMAN Sulfite oxidase, mitochondrial",-0.299280540071182,-0.25688261367984,-0.22996555718254,-0.116659957809411,-0.134873405076692,-0.0627611579532712,-0.0131367903496615,-0.00518655087956172,-0.0353112524883345,0.0440433293723325,0.0538623540406016,0.140091739239084,0.131702160660468,0.106576929202699,0.113787481715628,0.16263948904763,0.169580110777299,0.281877894331983,0.157278063364729,0.244164705738668,0.34137537786186,0.379398427504119,0.466742068363491,0.00304826448321291,2.4887088461614e-05,4.26207898342594e-07,5.31411202868621e-08,2.54857090703065e-09,2
